==================================================
HEADER
File name: peer_-AA0001-WL99b7svcXnQ.log
Creation Date/Time: 2026-08-08 12:56:35
Last Modified Date/Time: 2026-08-08 13:44:51
==================================================
BODY
Event Type      | Date/Time            | Description
PING_SEND       | 2026-08-08 13:25:17  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:25:17  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 28.52 ms
PING_RECV       | 2026-08-08 13:25:22  | Received PING from ('127.0.0.1', 11613)
ANNOUNCE        | 2026-08-08 13:25:40  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:25:41  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:25:47  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:25:47  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:25:47  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 15.59 ms
SHUTDOWN_INIT   | 2026-08-08 13:25:51  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:25:57  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 13:25:57  | Peer listening for direct connections on port 6882
FILE_CHECK      | 2026-08-08 13:25:58  | Determined status as LEECHER for Transferring_These_Files/sample3.png
FILE_CHECK      | 2026-08-08 13:25:59  | Determined status as LEECHER for Transferring_These_Files
SYSTEM_READY    | 2026-08-08 13:26:00  | All torrent threads processed. Entering heartbeat loop.
HANDSHAKE_RECV  | 2026-08-08 13:26:05  | Handshake verified from -AA0001-lyY8i2fmn47q
MSG_RECV        | 2026-08-08 13:26:05  | Received Bitfield from 127.0.0.1:11659
HANDSHAKE_RECV  | 2026-08-08 13:26:06  | Handshake verified from -AA0001-lyY8i2fmn47q
MSG_RECV        | 2026-08-08 13:26:06  | Received Bitfield from 127.0.0.1:11661
ANNOUNCE        | 2026-08-08 13:26:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 13:26:28  | [Transferring_These_Files/sample3.png] Discovered new peer 127.0.0.1:6883 from tracker update
HANDSHAKE_SEND  | 2026-08-08 13:26:28  | [Transferring_These_Files/sample3.png] Initiating handshake with 127.0.0.1:6883
HANDSHAKE_SUCCESS | 2026-08-08 13:26:29  | [Transferring_These_Files/sample3.png] Handshake successful with -AA0001-lyY8i2fmn47q
MSG_RECV        | 2026-08-08 13:26:29  | Received Bitfield from 127.0.0.1:6883
ANNOUNCE        | 2026-08-08 13:26:29  | [Transferring_These_Files] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 13:26:29  | [Transferring_These_Files] Discovered new peer 127.0.0.1:6883 from tracker update
HANDSHAKE_SEND  | 2026-08-08 13:26:29  | [Transferring_These_Files] Initiating handshake with 127.0.0.1:6883
HANDSHAKE_SUCCESS | 2026-08-08 13:26:29  | [Transferring_These_Files] Handshake successful with -AA0001-lyY8i2fmn47q
MSG_RECV        | 2026-08-08 13:26:29  | Received Bitfield from 127.0.0.1:6883
HEARTBEAT_SYNC  | 2026-08-08 13:26:30  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:26:30  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:26:30  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 15.01 ms
PING_RECV       | 2026-08-08 13:26:37  | Received PING from ('127.0.0.1', 11680)
ANNOUNCE        | 2026-08-08 13:26:59  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:26:59  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:27:00  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:27:00  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:27:00  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 27.12 ms
PING_RECV       | 2026-08-08 13:27:07  | Received PING from ('127.0.0.1', 11696)
SHUTDOWN_INIT   | 2026-08-08 13:27:21  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:27:28  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 13:27:28  | Peer listening for direct connections on port 6882
FILE_CHECK      | 2026-08-08 13:27:29  | Determined status as LEECHER for Transferring_These_Files/sample3.png
FILE_CHECK      | 2026-08-08 13:27:30  | Determined status as LEECHER for Transferring_These_Files
SYSTEM_READY    | 2026-08-08 13:27:31  | All torrent threads processed. Entering heartbeat loop.
HANDSHAKE_RECV  | 2026-08-08 13:27:37  | Handshake verified from -AA0001-lyY8i2fmn47q
MSG_RECV        | 2026-08-08 13:27:37  | Received Bitfield from 127.0.0.1:11715
HANDSHAKE_RECV  | 2026-08-08 13:27:38  | Handshake verified from -AA0001-lyY8i2fmn47q
