==================================================
HEADER
File name: peer_-AA0001-Yyf788BMxpHy.log
Creation Date/Time: 2026-08-08 12:06:08
Last Modified Date/Time: 2026-08-08 12:17:33
==================================================
BODY
Event Type      | Date/Time            | Description
PING_RECV       | 2026-08-08 12:10:59  | Received PING from ('127.0.0.1', 8302)
ANNOUNCE        | 2026-08-08 12:11:10  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:11:11  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:11:12  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:11:12  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:11:12  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 10.83 ms
PING_SEND       | 2026-08-08 12:11:12  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:11:12  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 12.39 ms
PING_RECV       | 2026-08-08 12:11:21  | Received PING from ('127.0.0.1', 8313)
PING_RECV       | 2026-08-08 12:11:29  | Received PING from ('127.0.0.1', 8318)
ANNOUNCE        | 2026-08-08 12:11:40  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:11:41  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:11:42  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:11:42  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:11:42  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 18.20 ms
PING_SEND       | 2026-08-08 12:11:42  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:11:42  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 13.14 ms
PING_RECV       | 2026-08-08 12:11:52  | Received PING from ('127.0.0.1', 8329)
PING_RECV       | 2026-08-08 12:11:59  | Received PING from ('127.0.0.1', 8332)
ANNOUNCE        | 2026-08-08 12:12:10  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:12:11  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:12:12  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:12:12  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:12:12  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 14.12 ms
PING_SEND       | 2026-08-08 12:12:12  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:12:12  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 14.05 ms
PING_RECV       | 2026-08-08 12:12:22  | Received PING from ('127.0.0.1', 8354)
PING_RECV       | 2026-08-08 12:12:29  | Received PING from ('127.0.0.1', 8359)
ANNOUNCE        | 2026-08-08 12:12:40  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:12:41  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:12:43  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:12:43  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:12:43  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 22.85 ms
PING_SEND       | 2026-08-08 12:12:43  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:12:43  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 12.93 ms
PING_RECV       | 2026-08-08 12:12:52  | Received PING from ('127.0.0.1', 8376)
PING_RECV       | 2026-08-08 12:12:59  | Received PING from ('127.0.0.1', 8385)
ANNOUNCE        | 2026-08-08 12:13:10  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:13:11  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:13:13  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:13:13  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:13:13  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 13.00 ms
PING_SEND       | 2026-08-08 12:13:13  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:13:13  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 13.24 ms
PING_RECV       | 2026-08-08 12:13:22  | Received PING from ('127.0.0.1', 8400)
PING_RECV       | 2026-08-08 12:13:30  | Received PING from ('127.0.0.1', 8405)
ANNOUNCE        | 2026-08-08 12:13:40  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:13:41  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:13:43  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:13:43  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:13:43  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 12.00 ms
PING_SEND       | 2026-08-08 12:13:43  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:13:43  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 13.50 ms
PING_RECV       | 2026-08-08 12:13:52  | Received PING from ('127.0.0.1', 8432)
PING_RECV       | 2026-08-08 12:14:00  | Received PING from ('127.0.0.1', 8445)
ANNOUNCE        | 2026-08-08 12:14:10  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:14:11  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:14:13  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:14:13  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:14:13  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 11.86 ms
PING_SEND       | 2026-08-08 12:14:13  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:14:13  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 18.38 ms
PING_RECV       | 2026-08-08 12:14:22  | Received PING from ('127.0.0.1', 8458)
PING_RECV       | 2026-08-08 12:14:30  | Received PING from ('127.0.0.1', 8461)
ANNOUNCE        | 2026-08-08 12:14:40  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:14:41  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:14:43  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:14:43  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:14:43  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 17.95 ms
PING_SEND       | 2026-08-08 12:14:43  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:14:43  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 12.01 ms
PING_RECV       | 2026-08-08 12:14:52  | Received PING from ('127.0.0.1', 8472)
PING_RECV       | 2026-08-08 12:15:00  | Received PING from ('127.0.0.1', 8477)
ANNOUNCE        | 2026-08-08 12:15:10  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:15:11  | [Transferring_These_Files] Sending periodic update to tracker...
ERROR           | 2026-08-08 12:15:12  | [Transferring_These_Files/sample3.png] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
HEARTBEAT_SYNC  | 2026-08-08 12:15:13  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:15:13  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:15:13  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 16.00 ms
PING_SEND       | 2026-08-08 12:15:13  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:15:13  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 12.00 ms
ERROR           | 2026-08-08 12:15:13  | [Transferring_These_Files] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
PING_RECV       | 2026-08-08 12:15:23  | Received PING from ('127.0.0.1', 8502)
PING_RECV       | 2026-08-08 12:15:30  | Received PING from ('127.0.0.1', 8508)
ANNOUNCE        | 2026-08-08 12:15:42  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:15:43  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:15:43  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:15:43  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 22.71 ms
ANNOUNCE        | 2026-08-08 12:15:43  | [Transferring_These_Files] Sending periodic update to tracker...
PING_SEND       | 2026-08-08 12:15:43  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:15:43  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 11.56 ms
ERROR           | 2026-08-08 12:15:44  | [Transferring_These_Files/sample3.png] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
ERROR           | 2026-08-08 12:15:45  | [Transferring_These_Files] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
PING_RECV       | 2026-08-08 12:15:53  | Received PING from ('127.0.0.1', 8521)
PING_RECV       | 2026-08-08 12:16:00  | Received PING from ('127.0.0.1', 8526)
HEARTBEAT_SYNC  | 2026-08-08 12:16:13  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:16:13  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:16:13  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 13.50 ms
PING_SEND       | 2026-08-08 12:16:13  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:16:14  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 12.01 ms
ANNOUNCE        | 2026-08-08 12:16:14  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:16:15  | [Transferring_These_Files] Sending periodic update to tracker...
ERROR           | 2026-08-08 12:16:17  | [Transferring_These_Files/sample3.png] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
ERROR           | 2026-08-08 12:16:18  | [Transferring_These_Files] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
PING_RECV       | 2026-08-08 12:16:23  | Received PING from ('127.0.0.1', 8541)
PING_RECV       | 2026-08-08 12:16:30  | Received PING from ('127.0.0.1', 8547)
