==================================================
HEADER
File name: peer_-AA0001-pIx1hRtqia2P.log
Creation Date/Time: 2026-08-08 12:29:27
Last Modified Date/Time: 2026-08-08 12:37:59
==================================================
BODY
Event Type      | Date/Time            | Description
PING_SEND       | 2026-08-08 12:35:01  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:35:02  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 15.01 ms
PING_RECV       | 2026-08-08 12:35:09  | Received PING from ('127.0.0.1', 9835)
PING_RECV       | 2026-08-08 12:35:20  | Received PING from ('127.0.0.1', 9852)
ANNOUNCE        | 2026-08-08 12:35:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:35:30  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:35:32  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:35:32  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:35:32  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 25.03 ms
PING_SEND       | 2026-08-08 12:35:32  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:35:32  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 12.38 ms
PING_RECV       | 2026-08-08 12:35:39  | Received PING from ('127.0.0.1', 9868)
PING_RECV       | 2026-08-08 12:35:51  | Received PING from ('127.0.0.1', 9878)
ANNOUNCE        | 2026-08-08 12:35:59  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:36:00  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:36:02  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:36:02  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:36:02  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 27.17 ms
PING_SEND       | 2026-08-08 12:36:02  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:36:02  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 11.35 ms
PING_RECV       | 2026-08-08 12:36:09  | Received PING from ('127.0.0.1', 9896)
PING_RECV       | 2026-08-08 12:36:21  | Received PING from ('127.0.0.1', 9903)
ANNOUNCE        | 2026-08-08 12:36:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:36:30  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:36:32  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:36:32  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:36:32  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 31.58 ms
PING_SEND       | 2026-08-08 12:36:32  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:36:32  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 12.06 ms
PING_RECV       | 2026-08-08 12:36:40  | Received PING from ('127.0.0.1', 9921)
PING_RECV       | 2026-08-08 12:36:51  | Received PING from ('127.0.0.1', 9929)
ANNOUNCE        | 2026-08-08 12:36:59  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:37:00  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:37:02  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:37:02  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:37:02  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 11.03 ms
PING_SEND       | 2026-08-08 12:37:02  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:37:02  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 11.00 ms
PING_RECV       | 2026-08-08 12:37:10  | Received PING from ('127.0.0.1', 9947)
PING_RECV       | 2026-08-08 12:37:21  | Received PING from ('127.0.0.1', 9952)
ANNOUNCE        | 2026-08-08 12:37:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:37:30  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:37:32  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:37:32  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:37:32  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 14.05 ms
PING_SEND       | 2026-08-08 12:37:32  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:37:32  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 13.67 ms
PING_RECV       | 2026-08-08 12:37:40  | Received PING from ('127.0.0.1', 9978)
PING_RECV       | 2026-08-08 12:37:51  | Received PING from ('127.0.0.1', 9988)
SHUTDOWN_INIT   | 2026-08-08 12:37:59  | Keyboard interrupt received. Deregistering from tracker.
