==================================================
HEADER
File name: peer_-AA0001-a8lUrJxxmqN7.log
Creation Date/Time: 2026-08-08 12:28:34
Last Modified Date/Time: 2026-08-08 12:38:03
==================================================
BODY
Event Type      | Date/Time            | Description
ANNOUNCE        | 2026-08-08 12:36:07  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:36:08  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:36:09  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:36:09  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:36:09  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 22.21 ms
PING_SEND       | 2026-08-08 12:36:09  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:36:09  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 16.60 ms
PING_RECV       | 2026-08-08 12:36:21  | Received PING from ('127.0.0.1', 9905)
PING_RECV       | 2026-08-08 12:36:32  | Received PING from ('127.0.0.1', 9911)
ANNOUNCE        | 2026-08-08 12:36:37  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:36:38  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:36:39  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:36:40  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:36:40  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 12.22 ms
PING_SEND       | 2026-08-08 12:36:40  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:36:40  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 14.17 ms
PING_RECV       | 2026-08-08 12:36:51  | Received PING from ('127.0.0.1', 9931)
PING_RECV       | 2026-08-08 12:37:02  | Received PING from ('127.0.0.1', 9937)
ANNOUNCE        | 2026-08-08 12:37:07  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:37:08  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:37:10  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:37:10  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:37:10  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 17.77 ms
PING_SEND       | 2026-08-08 12:37:10  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:37:10  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 13.42 ms
PING_RECV       | 2026-08-08 12:37:21  | Received PING from ('127.0.0.1', 9954)
PING_RECV       | 2026-08-08 12:37:32  | Received PING from ('127.0.0.1', 9962)
ANNOUNCE        | 2026-08-08 12:37:37  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:37:38  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:37:40  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:37:40  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:37:40  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 14.04 ms
PING_SEND       | 2026-08-08 12:37:40  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:37:40  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 13.31 ms
PING_RECV       | 2026-08-08 12:37:51  | Received PING from ('127.0.0.1', 9990)
SHUTDOWN_INIT   | 2026-08-08 12:38:03  | Keyboard interrupt received. Deregistering from tracker.
